"prey2avgOffs","prey2convRate","prey2catchProb","prey2maxCons","prey2resAva","replicatesNb","prey1densityDevMean","prey1densDevICinf","prey1densDevICsup","prey1densDevMin","prey1densDevMax","prey1amplituDevMean","prey1ampldevICinf","prey1ampldevICsup","prey2densityDevMean","prey2densDevICinf","prey2densDevICsup","prey2densDevMin","prey2densDevMax","prey2amplituDevMean","prey2ampldevICinf","prey2ampldevICsup","pred1densityDevMean","pred1densDevICinf","pred1densDevICsup","pred1densDevMin","pred1densDevMax","pred1amplituDevMean","pred1ampldevICinf","pred1ampldevICsup"
0.1,100,0.1,10,100,28,0.212149452529304,0.208827093633039,0.215325962229348,0.198258389009834,0.230928608963291,-0.0517587939698493,-0.124335965541996,0.0199569274946159,-0.392306023377539,-0.404996515280463,-0.379412130612196,-0.448738462651082,-0.316030699970168,0.575370328807092,0.336129502861632,0.827446414543822,-0.679079667749121,-0.69230562786828,-0.667396876090282,-0.754602667668608,-0.62074957730603,0.188775510204082,0.0901360544217687,0.292517006802721
0.5,100,0.1,10,100,30,0.0474208642994771,0.0436673923379126,0.0509611390536247,0.0256287065535621,0.0631033706178215,0.00221105527638185,-0.0695477386934674,0.0852261306532663,-0.141944672956524,-0.146709777605013,-0.137583356686766,-0.168708208656138,-0.118837330536948,0.204241948153967,0.105066771406127,0.316771406127259,-0.137438161437786,-0.143261945018473,-0.131684826852026,-0.169406349802743,-0.106002254367838,0.273015873015873,0.153174603174603,0.392857142857143
1,100,0.1,10,100,30,7.11507675693612e-17,-0.00443510246978449,0.00456121912769319,-0.0324149838600705,0.0221755123489228,-6.10649768598148e-17,-0.10251256281407,0.100301507537688,-1.78665224252981e-17,-0.00385306522588547,0.00406299500487657,-0.0191859746818659,0.0244472769897878,8.10657964367412e-17,-0.0889630793401413,0.0891594658287511,-3.45429635597039e-17,-0.00616820088922291,0.00568288559083222,-0.031326319744505,0.0332519256058613,9.26992857475106e-19,-0.0849206349206349,0.0880952380952381
10,100,0.1,10,100,30,-0.298644245927483,-0.307399344393564,-0.289279583614844,-0.352300878312439,-0.24798438555664,0.740301507537688,0.541708542713568,0.923819095477387,0.36188076993002,0.356587325263592,0.366787501845674,0.329819771769166,0.386591212480074,6.18303220738413,5.66476826394344,6.65298507462687,0.412275345982842,0.398310789654956,0.425464963366523,0.285694157430021,0.505729851587451,1.45396825396825,1.26031746031746,1.66349206349206
2,100,0.1,10,100,30,-0.114010459675199,-0.118414533443435,-0.109877636814053,-0.143037309511298,-0.0905787853764732,0.261105527638191,0.15537688442211,0.361809045226131,0.0972557456976951,0.0949113624241767,0.099899454684799,0.0822432553780694,0.11496819413181,0.108994501178319,0.0502749410840535,0.173998428908091,0.201671989479617,0.195754273905692,0.2077384307095,0.16616569603607,0.23849333082848,0.331746031746032,0.247619047619048,0.413492063492064
3,100,0.1,10,100,30,-0.166625128243625,-0.17103220478943,-0.162250081325226,-0.207506943923129,-0.139734254185121,0.21427135678392,0.100100502512563,0.337286432160804,0.174371290445383,0.17207411626092,0.176695584744835,0.16405560226242,0.186685831547926,0.311665357423409,0.224666142969364,0.400432050274941,0.280433965808754,0.273436032312606,0.286923101008203,0.245538230321247,0.313169265451813,0.415873015873016,0.301587301587302,0.538095238095238
4,100,0.1,10,100,30,-0.208952280859795,-0.213230237970122,-0.20493356354628,-0.236093386382404,-0.180602056902635,0.24,0.131256281407035,0.365427135678392,0.228352372658504,0.226835655116511,0.229791747650343,0.215613954203166,0.23791271541658,0.698743126472899,0.552238805970149,0.833857030636292,0.329521259941136,0.325552633226877,0.33332550566723,0.298844636483186,0.356377982340785,0.545238095238095,0.434920634920635,0.646031746031746
5,100,0.1,10,100,30,-0.240566524034732,-0.24716863098366,-0.235123489227535,-0.289392688236619,-0.214773665640718,0.452462311557789,0.318391959798995,0.589748743718593,0.269107878795184,0.267455560678244,0.270949033268345,0.25921707241372,0.282992373220996,1.07109190887667,0.885506677140613,1.2582482325216,0.36148162063999,0.353325192560586,0.368917903437911,0.322797294758595,0.394185609618636,0.68968253968254,0.555555555555556,0.83015873015873
6,100,0.1,10,100,30,-0.2632715261617,-0.269908665515602,-0.256273052573631,-0.300893326326852,-0.219758276405675,0.38713567839196,0.246834170854271,0.533467336683417,0.29756089721376,0.295636373498224,0.299294575675668,0.287090523930488,0.305743136350898,1.8175569520817,1.62549096622152,2.00765907305577,0.392706180725155,0.383962677688021,0.401316613438537,0.325615254555702,0.450309975577682,0.697619047619048,0.556349206349206,0.847619047619048
7,100,0.1,10,100,30,-0.281995846157696,-0.287937342041388,-0.276234516928159,-0.315847158621725,-0.254049996246528,0.425527638190955,0.275175879396985,0.572462311557789,0.323407371247254,0.321714875182182,0.325312810437427,0.317706120407284,0.337142202816273,2.63747054202671,2.37038491751767,2.88511390416339,0.406952533032751,0.398240340660029,0.415774312730916,0.354264512492955,0.459703174901371,0.803174603174603,0.656349206349206,0.972222222222222
8,100,0.1,10,100,30,-0.306097139854365,-0.313149663438681,-0.298650251482621,-0.34371293446438,-0.257593273778245,0.546934673366834,0.410653266331658,0.682613065326633,0.34195552100252,0.338733249562311,0.34486239554989,0.324395748771308,0.355433213703493,3.43421052631579,3.03574234092694,3.78102906520031,0.41232231197946,0.404619888534035,0.420470912392761,0.359430772120984,0.463460454630847,0.954761904761905,0.793650793650794,1.12619047619048
9,100,0.1,10,100,30,-0.305324425093211,-0.312289868128018,-0.298386007056527,-0.339448990316042,-0.255641468358231,0.655075376884422,0.469547738693467,0.8321608040201,0.351942754459501,0.34892639500347,0.355410111383317,0.335876597450107,0.367938600059664,5.17674783974863,4.79399057344855,5.46877454831108,0.414091364518755,0.401700169077588,0.42484657774438,0.325850084538794,0.465104264512493,1.28650793650794,1.11031746031746,1.46746031746032
