"prey2avgOffs","prey2convRate","prey2catchProb","prey2maxCons","prey2resAva","replicatesNb","prey1extFreq","prey2extFreq","pred1extFreq","prey1densBeforeMean","prey1densBeforeMax","prey1densBeforeMin","prey2densBeforeMean","prey2densBeforeMax","prey2densBeforeMin","prey1growthBeforeMean","prey1growthBeforeMax","prey1growthBeforeMin","prey2growthBeforeMean","prey2growthBeforeMax","prey2growthBeforeMin","prey1densAfterMean","prey1densAfterMax","prey1densAfterMin","prey2densAfterMean","prey2densAfterMax","prey2densAfterMin","predatorDensMean","predatorDensMax","predatorDensMin","prey1growthAfterMean","prey1growthAfterMax","prey1growthAfterMin","prey2growthAfterMean","prey2growthAfterMax","prey2growthAfterMin","predatorGrowthMean","predatorGrowthMax","predatorGrowthMin","prey1catchesMean","prey1catchesMax","prey1catchesMin","prey2catchesMean","prey2catchesMax","prey2catchesMin","prey1catchRateMean","prey1catchRateMax","prey1catchRateMin","prey2catchRateMean","prey2catchRateMax","prey2catchRateMin"
0.1,100,0.1,10,100,30,0,0,0.0666666666666667,1652.05,1656.83333333333,1645.93333333333,282.09,389.633333333333,194.266666666667,0.0047039261709434,0.049523206887703,-0.00484027715084699,0.0808002408569055,0.0869642617045986,0.0742548807799913,1559.03846153846,1590.2,1528.2,836.783333333333,883,761.833333333333,49.0576923076923,59.9666666666667,35.7333333333333,-0.000736451342439557,0.00705044492623754,-0.00836867739870942,0.00220917917427638,0.0209399549420613,-0.0176454384472827,0.0228031110235885,0.0666345329357916,-0.0393463829541526,9.70769230769231,12.3333333333333,7.03333333333333,4.8525641025641,6.73333333333333,2.96666666666667,0.00623936503447883,0.0080025954363577,0.0044594737398288,0.00578672676223194,0.00791287997492949,0.00369678089304258
0.5,100,0.1,10,100,30,0,0,0,1651.12333333333,1659.53333333333,1645.73333333333,1516.88666666667,1683.2,991.1,0.00432494568406808,0.0471148209965628,-0.0039477194390401,0.0803720444532558,0.252487073897773,-0.013534470335617,1341.60512820513,1357.06666666667,1332.36666666667,1095.19871794872,1106.4,1085.36666666667,141.274358974359,144.8,136.5,0.000796921454638541,0.011588118807778,-0.00741792772904859,0.000107297608497549,0.012000823490833,-0.0118789257331805,0.00158720669473677,0.0361465520844536,-0.0333564626784575,22.1307692307692,23.2666666666667,20.9333333333333,17.9730769230769,19.6,16.5666666666667,0.0164966298759832,0.017296732286404,0.0156499202551834,0.0164123329324739,0.0180412371134021,0.0150619753310907
1,100,0.1,10,100,30,0,0,0,1652.03666666667,1662.43333333333,1643.9,1650.07333333333,1656.2,1642.83333333333,0.00557403043440585,0.0582343291246918,-0.00649420694427119,0.00469835324695887,0.0491016005651998,-0.00566363639150587,1280.86538461538,1295.06666666667,1265.7,1276.37307692308,1287.7,1264.06666666667,163.784615384615,168.1,160.633333333333,0.00032673165184774,0.016914942146665,-0.0119769201467729,0.000741230435355459,0.00862983997175899,-0.00759122390271667,0.000837993086709216,0.0209708670093491,-0.0227253236607466,23.024358974359,24.7,20.9333333333333,23.2692307692308,24.8666666666667,21.7666666666667,0.0179778694333929,0.0194472876151484,0.0164294683968188,0.0182322912859337,0.0195165341146924,0.0170224968066526
10,100,0.1,10,100,30,0,0,0,1649.37,1656.56666666667,1642.66666666667,1835.28,2691.66666666667,983.033333333333,0.00446346181578392,0.0459048880803787,-0.00488460121495991,0.542000748705825,1.78500870077389,-0.628453961374932,898.342307692308,923.933333333333,864.666666666667,1738.26794871795,1803.13333333333,1666.56666666667,231.308974358974,241.233333333333,219.9,0.00135112587345455,0.0327905248794106,-0.0126472200185282,0.0977861570792014,0.203341330239773,0.0202654162467469,0.00636520776953134,0.0417291541308135,-0.0229165658211168,21.5448717948718,23.6333333333333,19.7,41.4730769230769,44.2,38.7666666666667,0.0239891738426866,0.0265066547031553,0.021551252598184,0.0238741370173152,0.0259799543514935,0.0218375049289296
2,100,0.1,10,100,30,0,0,0,1650.22,1658.8,1641.7,1697.77,1710.23333333333,1682.03333333333,0.00455103771259616,0.0447846623351434,-0.00720409105953222,0.00179491837719642,0.0172999193800849,-0.00941701669057206,1134.83333333333,1152.4,1121.33333333333,1400.50769230769,1418.03333333333,1383.73333333333,196.815384615385,201,191.833333333333,0.000383377072293708,0.0133221338361141,-0.00939115758242073,0.000689689187607473,0.0149670389128958,-0.0147229528660227,0.00300863455480801,0.0232227434855549,-0.0188389047851231,24.2564102564103,25.9,22.8333333333333,30.4179487179487,32.8666666666667,28.4333333333333,0.0213771141455255,0.0230468054814024,0.0200579778044566,0.0217219481973741,0.0236808607728703,0.0203720952449189
3,100,0.1,10,100,30,0,0,0,1650.82666666667,1660.66666666667,1641.26666666667,1738.90666666667,1746.03333333333,1731.96666666667,0.00419880089027097,0.0487685951320901,-0.00634145049491071,0.00112518279011171,0.00974351245908769,-0.00507038396409588,1067.44102564103,1081.86666666667,1052.53333333333,1498.9358974359,1520.4,1482.6,209.715384615385,213.1,204.6,0.000652185344353438,0.0127034124007954,-0.0116748777279673,0.00155576583055376,0.0211734352386196,-0.0194932493933652,0.00200791566643053,0.031181385674612,-0.0202240228559936,24.4435897435897,26.4333333333333,22.7,34.2948717948718,36.3,32.4666666666667,0.0229029417775958,0.0247967479674796,0.0210049042287406,0.0228818025811532,0.0243711395577835,0.0215037196812959
4,100,0.1,10,100,30,0,0,0,1650.92,1657.9,1638.76666666667,1771.63,1804.03333333333,1744.36666666667,0.00487001723724926,0.0462352355107451,-0.00783262536526982,0.00258581917694525,0.0328748846322291,-0.0311248941531497,1013.22564102564,1037.06666666667,998.066666666667,1567.8358974359,1591.86666666667,1543.8,217.755128205128,225.366666666667,208.7,0.00137990017420501,0.0178836998011896,-0.013908159880417,0.00307164160908577,0.0318833200865126,-0.0269310884088322,0.00203896239073193,0.0298363601492314,-0.0303072276407383,23.3961538461538,24.6666666666667,22.1,36.3794871794872,39.0333333333333,34.0666666666667,0.0230943107617321,0.0241917028997353,0.0215792214555397,0.0232071873930977,0.0251492633477943,0.0214251273558207
5,100,0.1,10,100,30,0,0,0,1650.26666666667,1659.1,1641.13333333333,1798.41333333333,1817.26666666667,1784.03333333333,0.00381551038998838,0.0452086257332383,-0.00727550716669314,0.00945729962205137,0.0436530621796865,-0.00554937162746008,972.732051282051,993.9,959.933333333333,1619.85512820513,1647.93333333333,1598.43333333333,222.989743589744,230.266666666667,217.466666666667,0.000616120957801385,0.012176936718864,-0.0142409220146419,0.00507583939704316,0.0312819098405017,-0.0250637020849957,0.00234704824128151,0.0288524526698419,-0.0263643626970821,23.025641025641,24.4,20.8333333333333,38.374358974359,39.9666666666667,36.9333333333333,0.0236698592101845,0.0250213931199727,0.0215155615696888,0.0236908434604819,0.0248214470551702,0.0227137615055042
6,100,0.1,10,100,30,0,0,0,1649.47333333333,1656.6,1641.63333333333,1818.5,1867.46666666667,1773.2,0.00487825389242427,0.0454902876902498,-0.00513821827572062,0.0227967786324141,0.0759353260109631,-0.025500520351931,943.65,961.666666666667,930.466666666667,1656.1717948718,1705.56666666667,1616.2,228.103846153846,231.733333333333,223.433333333333,-0.000130397843675838,0.0120168336022705,-0.0137175218393151,0.00983843742658539,0.0521462237383811,-0.0443755244362788,0.00221895216834406,0.0289012497609823,-0.0157733241997333,22.3512820512821,23.6333333333333,20.6333333333333,39.8076923076923,41.9333333333333,37.8333333333333,0.0236856690348444,0.0252232381087907,0.0217990303791287,0.0240420104909451,0.0256970687365949,0.022182265913577
7,100,0.1,10,100,30,0,0,0,1651.59333333333,1662.76666666667,1644.2,1829.53,2120.23333333333,1542.93333333333,0.00361064903010287,0.0401523990550525,-0.00423400257521585,0.0930729484416783,0.444862209304764,-0.252141395433771,919.666666666667,935.2,904.866666666667,1689.16153846154,1759.63333333333,1613.56666666667,230.43717948718,235.666666666667,225.133333333333,-0.000205953335248608,0.0137139676070638,-0.0118469586196945,0.0196706485400993,0.111179032760184,-0.067420396613925,0.004200024083041,0.0373366605936792,-0.0267144343717753,22.2846153846154,25.0333333333333,21.0666666666667,41.0461538461538,42.2666666666667,39.3666666666667,0.024234282000841,0.0271021291952363,0.0228183557786042,0.0243170930875169,0.0257194207449335,0.0227907772434375
8,100,0.1,10,100,30,0,0,0,1648.75666666667,1658.4,1642.46666666667,1833.23333333333,2409.23333333333,1271.43333333333,0.00347139777766086,0.0414921875836417,-0.00604824626694061,0.24396207295002,0.950849781604915,-0.449828251123963,888.796153846154,921.3,859.6,1712.8358974359,1777.96666666667,1638.46666666667,231.316666666667,246.433333333333,221.2,-0.000457067100267211,0.0221350722194448,-0.0242371841437106,0.0284288526972629,0.123731519492341,-0.0465757846499298,0.000464467207100263,0.0301549499706371,-0.0328649984222387,21.6089743589744,23.9333333333333,20,41.4307692307692,44.4666666666667,38.4,0.0243187028769723,0.0265601302112233,0.0224995343639411,0.024207995419417,0.0262500245970995,0.021942215692922
9,100,0.1,10,100,30,0,0,0,1650.21666666666,1660,1634.63333333333,1831.34666666667,2584.93333333333,1076.1,0.00341677668986829,0.033869735655511,-0.0122707316648388,0.396196526019595,1.40959240817736,-0.578930770008381,889.785897435897,914.166666666667,859.966666666667,1725.58333333333,1812.73333333333,1613.06666666667,231.60641025641,242.9,223.466666666667,0.000372688567248308,0.0135286603626452,-0.0168179425121645,0.065527788943421,0.175429031121517,-0.0482826084152933,0.00556028877992594,0.0441492154494529,-0.0292366569422108,21.575641025641,23.0666666666667,20.1666666666667,41.6576923076923,44.1,38.7333333333333,0.0242558302541702,0.0263644773358002,0.0222424794895168,0.0241692799780345,0.0269466027442552,0.0218113561708118
